Russia 2 SaudiArabia 1
Morocco 1 Iran 1
France 2 Australia 2
Argentina -2 Iceland 0
CostaRica 1 Serbia 1
Germany 1 Mexico 0
Belgium 2 Panama 2
Colombia 2 Japan 1
Egypt 2 Uruguay 3
Portugal 1 Spain 1
Peru 2 Denmark 2
croatia 1 Nigeria 0
Brazil 3 Switzerland 1
Sweden 1 SouthKorea -2
Tunisia 1 England 3
Poland 1 Senegal 1
Iceland 1 Croatia 3
Columbia 4 Senegal 2
Australia 1 Peru 8
Denmark 3 France 0
Poland 1 Japan 6
Brazil 2 CostaRica 4
Switzerland 4 Serbia 6
Mexico 2 Sweeden 1
Germany 1 SouthKorea 0
SaudiArabia 1 Egypt 3
Russia 1 Uruguay 1
Argentina 3 Croatia 3
Iceland 2 Nigeria 6
Belgium 7 Tunisia 8
Panama 2 England 1
Portugal 1 Iran 6
Spain 7 Morocco 2
